Date,Adj Close,Close,High,Low,Open,Volume
2014-12-31,48.720131,48.724998,51.125,48.505001,50.505001,4878800
2015-01-02,48.320171,48.325001,50.064999,47.580002,49.424999,2542800
2015-01-05,46.14539,46.150002,47.799999,45.75,47.625,2646200
2015-01-06,44.31557100000001,44.32,46.584999,43.685001,46.314999,3507200
2015-01-07,46.020405,46.025002,46.32,44.860001,45.165001,2863900
2015-01-08,48.645142,48.650002,48.924999,47.049999,47.209999,3019500
2015-01-09,47.66024,47.665001,49.16,46.855,49.105,3776700
2015-01-12,46.195385,46.200001,48.110001,45.82,47.985001,3436100
2015-01-13,46.155388,46.16,48.990002,45.049999,47.505001,4160600
2015-01-14,45.445461,45.450001,46.064999,44.169998,44.695,4503100
2015-01-15,43.64064000000001,43.645,46.224998,43.455002,45.970001,4083600
2015-01-16,45.195484,45.200001,45.310001,43.215,43.43,2954100
2015-01-20,46.195385,46.200001,46.535,44.419998,45.959999,2941800
2015-01-21,46.905315,46.91,47.540001,45.32,45.779999,2781900
2015-01-22,49.515053,49.52,49.650002,46.240002,47.5,3388700
2015-01-23,49.84502,49.849998,50.294998,49.07,49.52,2958900
2015-01-26,49.735031,49.740002,49.950001,48.91,49.700001,2100100
2015-01-27,45.885414,45.889999,47.404999,45.32,47.375,4666400
2015-01-28,45.095493,45.099998,48.150002,45.07,47.994999,3936000
2015-01-29,46.400364,46.404999,46.630001,43.799999,44.945,3678300
2015-01-30,45.335472,45.34,47.325001,45.130001,46.244999,4546300
2015-02-02,46.525349,46.529999,46.599998,43.490002,45.584999,4142600
2015-02-03,47.795223,47.799999,47.915001,46.09,46.919998,3790500
2015-02-04,47.670238,47.674999,48.639999,46.91,47.200001,2596500
2015-02-05,48.935108,48.939999,49.005001,47.720001,48.014999,2090100
2015-02-06,48.0452,48.049999,49.474998,47.514999,49.150002,2569600
2015-02-09,47.515255,47.52,48.23,47.224998,47.474998,1995700
2015-02-10,49.790024,49.794998,49.974998,48.130001,48.395,2484500
2015-02-11,50.349968,50.355,50.66,49.669998,49.974998,2538600
2015-02-12,52.109795,52.115002,52.134998,51.084999,51.259998,3189600
2015-02-13,53.424664,53.43,53.439999,52.25,52.529999,2518700
2015-02-17,53.569649,53.575001,53.665001,53.035,53.419998,1723500
2015-02-18,53.799625,53.805,53.869999,53.150002,53.395,1466200
2015-02-19,54.609547,54.615002,54.695,53.650002,53.674999,1574800
2015-02-20,55.659439,55.665001,55.775002,53.970001,54.485001,1891100
2015-02-23,55.879417,55.884998,55.889999,55.235001,55.630001,1645300
2015-02-24,55.99440799999999,56.0,56.165001,55.134998,55.639999,2173000
2015-02-25,55.544449,55.549999,56.365002,55.185001,55.705002,2344800
2015-02-26,56.389366,56.395,56.465,55.25,55.709999,2423700
2015-02-27,55.64444399999999,55.650002,56.43,55.380001,56.330002,1849800
2015-03-02,57.144291,57.150002,57.195,55.924999,55.950001,1855100
2015-03-03,56.324375,56.330002,56.805,55.27,56.650002,2674800
2015-03-04,55.699436,55.705002,56.025002,54.764999,55.794998,2424400
2015-03-05,55.944412,55.950001,56.474998,55.299999,56.130001,1923900
2015-03-06,54.019604,54.025002,56.095001,53.645,55.790001,3119300
2015-03-09,54.539551,54.544998,54.93,53.724998,54.41,2359800
2015-03-10,51.519855,51.525002,53.375,51.5,53.345001,3983300
2015-03-11,50.614941,50.619999,51.904999,50.549999,51.665001,4649000
2015-03-12,51.584846,51.59,51.775002,50.384998,50.474998,2549800
2015-03-13,50.91991,50.924999,52.064999,49.959999,51.455002,4127400
2015-03-16,52.869717,52.875,52.900002,51.32,51.490002,2395000
2015-03-17,53.164688,53.169998,53.375,52.075001,52.419998,2023700
